         183759 function calls (179708 primitive calls) in 0.294 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2748    0.001    0.000    0.001    0.000 typing.py:1022(<genexpr>)
    206/1    0.001    0.000    0.294    0.294 {built-in method builtins.exec}
      609    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       20    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      533    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
  309/233    0.001    0.000    0.021    0.000 typing.py:306(inner)
      433    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2469    0.001    0.000    0.001    0.000 __init__.py:158(<lambda>)
      151    0.001    0.000    0.002    0.000 typing.py:253(_deduplicate)
    56/15    0.001    0.000    0.003    0.000 typing.py:1046(__getitem__)
     1147    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
      992    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      144    0.001    0.000    0.033    0.000 re.py:288(_compile)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      257    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      483    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        7    0.000    0.000    0.002    0.000 enum.py:553(<listcomp>)
      101    0.000    0.000    0.009    0.000 typing.py:483(Union)
        9    0.000    0.000    0.000    0.000 {built-in method io.open}
      992    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      480    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      212    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
     1446    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      533    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      256    0.000    0.000    0.001    0.000 __init__.py:101(find_spec)
      212    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      466    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      533    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      192    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      333    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      269    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      812    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      415    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
     1055    0.000    0.000    0.001    0.000 __init__.py:42(<lambda>)
      240    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      743    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
      507    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      259    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
    333/5    0.000    0.000    0.289    0.058 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1777    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      203    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      101    0.000    0.000    0.003    0.000 typing.py:267(_remove_dups_flatten)
     1777    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      684    0.000    0.000    0.000    0.000 types.py:176(__get__)
      237    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       52    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      173    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      713    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       38    0.000    0.000    0.032    0.001 sre_compile.py:783(compile)
      237    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      396    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
1345/1244    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  572/475    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
      311    0.000    0.000    0.001    0.000 function_base.py:473(_add_docstring)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      579    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       50    0.000    0.000    0.000    0.000 typing.py:284(_flatten_literal_params)
        9    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      203    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       82    0.000    0.000    0.000    0.000 posixpath.py:71(join)
     1736    0.000    0.000    0.000    0.000 typing.py:560(<genexpr>)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
     1061    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      817    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       38    0.000    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
      460    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      368    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      730    0.000    0.000    0.000    0.000 typing.py:1272(_value_and_type_iter)
       38    0.000    0.000    0.014    0.000 sre_parse.py:944(parse)
      769    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.009    0.009 request.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1077    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       93    0.000    0.000    0.001    0.000 typing.py:1247(__hash__)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
      352    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
      427    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      994    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      631    0.000    0.000    0.000    0.000 {built-in method from_bytes}
