         183759 function calls (179708 primitive calls) in 0.294 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       12    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
      374    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       12    0.000    0.000    0.000    0.000 {built-in method posix.close}
       99    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       37    0.000    0.000    0.032    0.001 re.py:249(compile)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       18    0.000    0.000    0.001    0.000 arrayprint.py:1685(_array_str_implementation)
        1    0.000    0.000    0.002    0.002 base.py:1(<module>)
      127    0.000    0.000    0.000    0.000 typing.py:1053(<genexpr>)
       60    0.000    0.000    0.008    0.000 typing.py:1040(__or__)
       30    0.000    0.000    0.000    0.000 os.py:755(encode)
       18    0.000    0.000    0.001    0.000 arrayprint.py:550(wrapper)
        2    0.000    0.000    0.001    0.000 __init__.py:99(load_first_config)
        1    0.000    0.000    0.000    0.000 request.py:933(CopyArea)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
        1    0.000    0.000    0.000    0.000 X.py:1(<module>)
       96    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       41    0.000    0.000    0.000    0.000 rq.py:467(__init__)
        1    0.000    0.000    0.000    0.000 request.py:518(QueryPointer)
       13    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
       24    0.000    0.000    0.037    0.002 __init__.py:108(import_module)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1616(_make_netmask)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
       12    0.000    0.000    0.000    0.000 typing.py:2249(<dictcomp>)
        1    0.000    0.000    0.000    0.000 drawable.py:26(Drawable)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:715(ListFonts)
       24    0.000    0.000    0.037    0.002 <frozen importlib._bootstrap>:1038(_gcd_import)
        2    0.000    0.000    0.000    0.000 __init__.py:1077(flush)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       99    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
        2    0.000    0.000    0.000    0.000 __init__.py:649(formatMessage)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 structs.py:1(<module>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
        1    0.000    0.000    0.000    0.000 request.py:1393(CreateGlyphCursor)
      3/2    0.000    0.000    0.000    0.000 posixpath.py:401(_joinrealpath)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1318(StoreNamedColor)
      101    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
        2    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 request.py:949(CopyPlane)
       36    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:561(TranslateCoords)
        1    0.000    0.000    0.000    0.000 request.py:843(CreatePixmap)
        1    0.000    0.000    0.000    0.000 request.py:1599(SetScreenSaver)
        3    0.000    0.000    0.000    0.000 __init__.py:853(_addHandlerRef)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:891(SetDashes)
        1    0.000    0.000    0.000    0.000 multiarray.py:73(_override___module__)
        1    0.000    0.000    0.000    0.000 request.py:1634(ChangeHosts)
       42    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.006    0.006 _char_codes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:458(UngrabKeyboard)
        1    0.000    0.000    0.000    0.000 __init__.py:283(__init__)
        1    0.000    0.000    0.006    0.006 resolver.py:1(<module>)
       30    0.000    0.000    0.000    0.000 os.py:805(fsencode)
        1    0.000    0.000    0.001    0.001 event.py:1(<module>)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:349(ConvertSelection)
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:590(_scalar_type_key)
      195    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 request.py:489(AllowEvents)
      120    0.000    0.000    0.000    0.000 typing.py:1074(<genexpr>)
        1    0.000    0.000    0.002    0.002 ImageOps.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        2    0.000    0.000    0.000    0.000 __init__.py:932(format)
        1    0.000    0.000    0.043    0.043 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2338(__new__)
        1    0.000    0.000    0.000    0.000 request.py:322(SetSelectionOwner)
        1    0.000    0.000    0.000    0.000 fontable.py:22(Fontable)
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.000    0.000 request.py:881(CopyGC)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1219(__init__)
        7    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       20    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        6    0.000    0.000    0.000    0.000 contextlib.py:496(callback)
        1    0.000    0.000    0.000    0.000 request.py:913(FreeGC)
        9    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        3    0.000    0.000    0.004    0.001 subprocess.py:1927(_wait)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
        1    0.000    0.000    0.015    0.015 overrides.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       73    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.002    0.002 dumper.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1870(_split_scope_id)
        1    0.000    0.000    0.028    0.028 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 webbrowser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
        1    0.000    0.000    0.001    0.001 cyaml.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       21    0.000    0.000    0.000    0.000 overrides.py:22(get_array_function_like_doc)
        3    0.000    0.000    0.000    0.000 contextlib.py:533(__exit__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:341(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
       52    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
       56    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1236(_get_parent_path)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       20    0.000    0.000    0.000    0.000 mixins.py:18(_binary_method)
       25    0.000    0.000    0.000    0.000 constructor.py:159(add_constructor)
        1    0.000    0.000    0.001    0.001 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:1(<module>)
       15    0.000    0.000    0.000    0.000 typing.py:1147(copy_with)
        7    0.000    0.000    0.000    0.000 posixpath.py:377(abspath)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        2    0.000    0.000    0.000    0.000 structs.py:25(WindowValues)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
        1    0.000    0.000    0.000    0.000 _utils_impl.py:1(<module>)
       82    0.000    0.000    0.000    0.000 typing.py:1055(<genexpr>)
       54    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       98    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:432(_sanity_check)
        3    0.000    0.000    0.000    0.000 TiffTags.py:450(<dictcomp>)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6637(refer_to_array_attribute)
        1    0.000    0.000    0.012    0.012 ExifTags.py:1(<module>)
       75    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:440(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 emitter.py:31(Emitter)
       60    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
        2    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:736(ListFontsWithInfo)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
       42    0.000    0.000    0.000    0.000 getlimits.py:102(_float_conv)
       33    0.000    0.000    0.000    0.000 typing.py:371(__getattr__)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 display.py:940(ConnectionSetupRequest)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        6    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        3    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 tempfile.py:816(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:872(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:664(__init__)
       75    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
        1    0.000    0.000    0.000    0.000 emitter.py:1(<module>)
      113    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.001    0.000 load_config_py3.py:6(exec_file_wrapper)
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
        1    0.000    0.000    0.000    0.000 config-3.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:2328(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 request.py:53(GetWindowAttributes)
        1    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
       13    0.000    0.000    0.000    0.000 mixins.py:46(_numeric_methods)
        5    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.003    0.003 colormap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
       51    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 pathlib.py:282(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1225(AllocNamedColor)
        3    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:137(ones)
        3    0.000    0.000    0.000    0.000 subprocess.py:1604(_get_handles)
        2    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 composer.py:1(<module>)
       19    0.000    0.000    0.000    0.000 representer.py:65(add_representer)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1080(poly1d)
        1    0.000    0.000    0.001    0.001 screenshot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:27(CreateWindow)
       40    0.000    0.000    0.000    0.000 rq.py:163(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:597(formatTime)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 __init__.py:1943(basicConfig)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:821(get)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1596(_BaseV6)
       13    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        3    0.000    0.000    0.000    0.000 getlimits.py:697(__init__)
        9    0.000    0.000    0.000    0.000 typing.py:722(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:1680(callHandlers)
       48    0.000    0.000    0.000    0.000 typing.py:1342(<genexpr>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f2526ffcc10}
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(Popen)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        5    0.000    0.000    0.000    0.000 os.py:683(__setitem__)
       45    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 serializer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
        2    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 request.py:1200(AllocColor)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.000    0.000 pathlib.py:945(Path)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1555(_IPv4Constants)
       13    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.006    0.006 drawable.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      105    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       34    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       17    0.000    0.000    0.000    0.000 rq.py:383(__init__)
        1    0.000    0.000    0.000    0.000 request.py:1349(LookupColor)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageGrab.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1226(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 display.py:46(Display)
        1    0.000    0.000    0.000    0.000 _deprecate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:495(hugepage_setup)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:371(GrabPointer)
        5    0.000    0.000    0.000    0.000 functools.py:946(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:691(QueryTextExtents)
        1    0.000    0.000    0.003    0.003 factory.py:1(<module>)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
      114    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:49(__collect_extra_submodules)
        1    0.000    0.000    0.000    0.000 __init__.py:1144(__init__)
        3    0.000    0.000    0.004    0.001 subprocess.py:1914(_try_wait)
        5    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
        1    0.000    0.000    0.001    0.001 printoptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1051(PutImage)
        4    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 platform.py:767(uname_result)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        2    0.000    0.000    0.000    0.000 __init__.py:156(requiresPyGetWindow)
        1    0.000    0.000    0.000    0.000 request.py:1453(QueryExtension)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 event.py:35(KeyButtonPointer)
        1    0.000    0.000    0.000    0.000 request.py:280(GetProperty)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:81(BaseSelector)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
    20/10    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 constructor.py:171(SafeConstructor)
        6    0.000    0.000    0.000    0.000 signal.py:48(_wraps)
        1    0.000    0.000    0.010    0.010 reader.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1068(GetImage)
        2    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 platform.py:814(uname)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 getlimits.py:384(finfo)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:440(__enter__)
        1    0.000    0.000    0.000    0.000 request.py:1330(QueryColors)
       14    0.000    0.000    0.001    0.000 typing.py:1043(__ror__)
        1    0.000    0.000    0.000    0.000 request.py:1522(ChangeKeyboardControl)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        3    0.000    0.000    0.004    0.001 subprocess.py:1204(wait)
        1    0.000    0.000    0.000    0.000 Image.py:3907(Exif)
        1    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       22    0.000    0.000    0.000    0.000 _type_aliases.py:118(<lambda>)
        1    0.000    0.000    0.000    0.000 request.py:1251(AllocColorCells)
        1    0.000    0.000    0.000    0.000 threading.py:986(_set_tstate_lock)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
        1    0.000    0.000    0.000    0.000 request.py:1018(FillPoly)
        1    0.000    0.000    0.000    0.000 request.py:1182(ListInstalledColormaps)
        8    0.000    0.000    0.000    0.000 _nbit_base.py:52(__init_subclass__)
        1    0.000    0.000    0.000    0.000 resolver.py:12(BaseResolver)
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1899(IPv6Address)
        1    0.000    0.000    0.000    0.000 request.py:199(QueryTree)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 request.py:1541(GetKeyboardControl)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1433(QueryBestSize)
        1    0.000    0.000    0.000    0.000 request.py:401(GrabButton)
        1    0.000    0.000    0.000    0.000 _internal.py:261(_ctypes)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:61(ImageDraw)
        1    0.000    0.000    0.000    0.000 representer.py:134(SafeRepresenter)
       15    0.000    0.000    0.001    0.000 typing.py:1239(copy_with)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
        1    0.000    0.000    0.000    0.000 event.py:68(EnterLeave)
        1    0.000    0.000    0.000    0.000 tempfile.py:960(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       13    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 datetime.py:442(timedelta)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        6    0.000    0.000    0.000    0.000 contextlib.py:514(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:816(Thread)
        1    0.000    0.000    0.000    0.000 event.py:344(SelectionNotify)
        1    0.000    0.000    0.000    0.000 __init__.py:1549(findCaller)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        1    0.000    0.000    0.000    0.000 event.py:27(AnyEvent)
        1    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
        1    0.000    0.000    0.000    0.000 exception.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1125(_BaseV4)
        1    0.000    0.000    0.000    0.000 subprocess.py:648(_use_posix_spawn)
        3    0.000    0.000    0.000    0.000 contextlib.py:452(__init__)
        1    0.000    0.000    0.000    0.000 request.py:1734(SetModifierMapping)
        1    0.000    0.000    0.000    0.000 request.py:541(GetMotionEvents)
       35    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.000    0.000 request.py:304(ListProperties)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _array_utils_impl.py:1(<module>)
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
        1    0.000    0.000    0.000    0.000 constructor.py:19(BaseConstructor)
        2    0.000    0.000    0.000    0.000 __init__.py:955(handle)
        9    0.000    0.000    0.000    0.000 enum.py:442(__iter__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:2248(<listcomp>)
        1    0.000    0.000    0.000    0.000 request.py:99(ChangeSaveSet)
        1    0.000    0.000    0.000    0.000 threading.py:827(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 request.py:438(GrabKeyboard)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        3    0.000    0.000    0.000    0.000 subprocess.py:1867(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 request.py:1569(ChangePointerControl)
       27    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       13    0.000    0.000    0.000    0.000 mixins.py:38(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:328(AxisConcatenator)
        1    0.000    0.000    0.000    0.000 request.py:640(OpenFont)
        6    0.000    0.000    0.000    0.000 rq.py:568(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:104(CalledProcessError)
       12    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 request.py:1581(GetPointerControl)
        1    0.000    0.000    0.000    0.000 rq.py:1331(TextElements8)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 parser.py:72(Parser)
        2    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
       12    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 parse.py:156(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 _binary.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 ImagePalette.py:31(ImagePalette)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 event.py:109(Expose)
        6    0.000    0.000    0.000    0.000 __init__.py:162(raisePyAutoGUIImageNotFoundException)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:902(createLock)
        1    0.000    0.000    0.000    0.000 request.py:1475(ListExtensions)
